"","segment","last_PM","cost_visit","cost_visit_last","part_last","cost_last_parts"
"1","Low",1,0,0,0,26.25
"2","Low",10,1179.9425,1280.79,2.5,2092.39
"3","Low",20,1502.31566666667,1837.01166666666,4,2083.29
"4","Low",30,1617.86675,2056.54,5,1886.55
"5","Low",40,1943.3982,2412.702875,6,2472.251
"6","Low",60,3193.03285714286,4049.4685,6.75,2400.575
"7","Low",70,3414.6375,4078.305,6.5,2391.804
"8","Low",80,4467.49457142857,6370.994,15.3333333333333,6164.339
"9","Low",90,4476.50015,5948.5045,12,2516.8785
"10","Low",100,4698.19092361111,5201.524125,8.41666666666666,2892.16575
"11","Low",110,4726.524375,4893.11,7.5,2695.161
"12","Low",120,5165.35690909091,5543.5095,12.3333333333333,4250.775
"13","Low",130,5360.272,5584.0625,11,2748.677
"14","Low",140,5241.36825,5054.86725,8,2384.96
"15","Low",150,5720.8419375,5550.6785,9,4036.941
"16","Low",160,6339.9105,7440.8335,19.1666666666667,7567.317
"17","Low",170,6372.48961160714,6706.43008333333,13.25,2813.1955
"18","Low",180,6065.02338461539,6310.325,11,2970.038
"19","Low",190,5974.39315,5130.19525,7.66666666666667,2783.9345
"20","Low",200,6304.8787,6414.35575,16,5177.9085
"21","Low",210,6767.62408585859,6190.35125,13.875,3414.8935
"22","Low",220,6046.73463409091,5600.13033333334,10.75,3371.8935
"23","Low",230,6703.90072222222,5366.3389,10,2806.032
"24","Low",240,6373.76008717949,7230.97975,17.5,6602.3395
"25","Low",250,6592.69948611111,7096.1972,14.6666666666667,4021.9945
"26","Low",260,6884.68316666667,7155.06325,11.3333333333333,2338.411
"27","Low",270,6482.06,5394.084,10,2854.772
"28","Low",280,6389.99095833334,6430.9675,12.375,4714.2415
"29","Low",290,5909.0964,5179.73625,12,2185.6355
"30","Low",300,6865.91199107143,7010.39925,9.66666666666666,2210.35225
"31","Low",310,5768.15217857143,4649.74741666667,12.725,1939.8905
"32","Low",320,8034.64232121212,8818.94891666666,27.75,8729.8755
"33","Low",330,6165.701125,6073.24866666667,13.5,2711.742
"34","Low",340,5223.82230769231,5195.813,10.5,2114.885
"35","Low",350,9174.14433333333,8140.881,10,3594.867
"36","Low",360,5186.4077,4805.9692,16,3849.487
